code,name,nmc,mktcap
601456,国联证券,702875.351698,3122470.247
601399,国机重装,931945.614152,2849159.356288
601398,工商银行,125100066.6181,165372503.2893
601390,中国中铁,12116305.873385,14619702.923385
601388,怡球资源,1193804.734784,1303296.516512
601377,兴业证券,6870785.137524,6870785.137524
601375,中原证券,1734102.4091,2335371.0041
601369,陕鼓动力,2184010.237647,2218595.839047
601368,绿城水务,447348.18804,459146.00004
601366,利群股份,524609.659835,541265.794953
601360,三六零,8452964.662051,8452964.662051
601339,百隆东方,838500.0,838500.0
601336,新华保险,8460627.40238,12656000.5562
601333,广深铁路,1367841.354,1714215.954
601330,绿色动力,996556.839296,1549505.28
601328,交通银行,17584387.07872,33269701.53696
601326,秦港股份,1403479.905,1648286.54
601319,中国人保,2839994.478633,22421563.225581
601318,中国平安,52083450.906384,87891400.69928
601311,骆驼股份,1532128.830108,1532128.830108
601298,青岛港,1116327.912,3875186.7
601288,农业银行,87989654.240796,102895011.95866
601279,英利汽车,110574.73384,1105747.33618
601258,庞大集团,1912491.08809,1912491.08809
601238,广汽集团,11862781.312514,17169577.783344
601236,红塔证券,3128803.914695,5768631.408466
601233,桐昆股份,5544975.233688,5544975.233688
601231,环旭电子,3133607.778,3170831.63782
601229,上海银行,9935294.8982,10299733.3075
601228,广州港,2136647.1,2136647.1
601226,华电重工,646800.0,653525.6
601225,陕西煤业,14193480.0,14193480.0
601222,林洋能源,2566882.743656,2566882.743656
601218,吉鑫科技,452517.68,452517.68
601216,君正集团,5307512.93831,5307512.93831
601212,白银有色,2295480.09841,2295480.09841
601211,国泰君安,13781914.201579,16507356.966119
601208,东材科技,1249813.1208,1397577.590272
601200,上海环境,1461781.681529,1461781.681529
601199,江南水务,387177.060888,387177.060888
601198,东兴证券,3146833.109637,3146833.109637
601188,龙江交通,459241.621279,459241.621279
601187,厦门银行,206379.800998,2063798.008416
601186,中国铁建,9662726.22,11406814.86
601179,中国西电,3285690.587632,3285690.587632
601177,杭齿前进,408061.2,408061.2
601169,北京银行,9260627.111136,9260627.111136
601168,西部矿业,3762757.0,3762757.0
601166,兴业银行,35150528.987392,37227349.825792
601163,三角轮胎,1096800.0,1096800.0
601162,天风证券,1738831.411914,3925588.131192
601158,重庆水务,2832000.0,2832000.0
601156,东航物流,341959.467624,3419594.667624
601155,新城控股,8244303.447402,8267006.834802
601139,深圳燃气,3150019.89093,3150060.46068
601138,工业富联,3604040.50221,23562451.215626
601137,博威合金,982122.05212,1077621.341808
601128,常熟银行,1588647.44148,1671922.11425
601127,小康股份,6761531.01552,9424755.07862
601126,四方股份,1536965.6094,1585685.4
601118,海南橡胶,2332288.149365,2332288.149365
601117,中国化学,5732146.0,7099204.823256
601116,三江购物,440333.4336,440333.4336
601113,ST华鼎,310427.32608,390386.526966
601111,中国国航,7521409.524855,10966235.464675
601108,财通证券,3879719.278148,3879719.278148
601107,四川成渝,746145.3,1055030.7
601106,中国一重,2818548.782997,2818548.782997
601101,昊华能源,1334398.078464,1334398.078464
601100,恒立液压,11032902.72,11032902.72
601099,太平洋,2331180.19854,2331180.19854
601098,中南传媒,1650524.0,1650524.0
601088,中国神华,36115373.12145,43512058.70145
601086,国芳集团,298368.0,298368.0
601077,渝农商行,2285166.892002,4417873.0
601069,西部黄金,747300.0,747300.0
601068,中铝国际,1305391.24017,1509124.00017
601066,中信建投,12203981.181636,24836936.739994
601058,赛轮轮胎,2456538.672,2940945.38112
601038,一拖股份,791682.03,1497819.151575
601028,玉龙股份,1338974.0496,1338974.0496
601021,春秋航空,4868249.931456,4868249.931456
601020,ST华钰,812330.541205,812330.541205
601019,山东出版,1321007.7,1321007.7
601018,宁波港,5427213.297308,6512655.95644
601016,节能风电,3104946.084933,3474045.036
601015,陕西黑猫,1734080.495511,1734080.495511
601012,隆基股份,44282385.578574,44283366.104148
601011,宝泰隆,868200.801777,868200.801777
601010,文峰股份,598752.0,598752.0
601009,南京银行,7617022.715752,8986301.241754
601008,连云港,404055.610198,498118.857364
601007,金陵饭店,231660.0,231660.0
601006,大秦铁路,9291796.4875,9291796.4875
601005,重庆钢铁,2363293.968894,2515045.839294
601003,柳钢股份,1788829.6536,1788829.6536
601002,晋亿实业,473179.17546,534320.074
601001,晋控煤业,2215978.8,2215978.8
601000,唐山港,1694815.583604,1694815.583604
