code,name,nmc,mktcap,maxp5
603580,艾艾精工,217440.2048,217440.2048,16.8
603579,荣泰健康,289342.687506,291487.147506,21.24
603578,三星新材,238612.353336,238612.353336,13.55
603577,汇金通,338138.639655,397810.1643,12.0
603569,长久物流,572115.91039,572115.91039,10.26
603568,伟明环保,3400286.35401,3400286.35401,20.54
603567,珍宝岛,1441204.29576,1441204.29576,16.26
603566,普莱柯,856143.848,939816.833899,28.44
603565,中谷物流,723331.149795,2362570.99074,17.14
603559,中通国脉,189460.059654,189460.059654,13.85
603558,健盛集团,335511.39512,335511.39512,8.97
603556,海兴电力,906020.21016,906020.21016,19.4
603551,奥普家居,121748.278761,363643.702,9.06
603538,美诺华,555491.025296,562890.668056,28.65
603536,惠发食品,175083.5072,180112.8896,7.65
603535,嘉诚国际,400394.88,428243.02506,18.4
603533,掌阅科技,688190.23728,688190.23728,15.93
603530,神马电力,677788.896736,677788.896736,16.42
603529,爱玛科技,745195.072392,2929820.620392,51.83
603528,多伦科技,438131.01501,438131.01501,7.15
603527,众源新材,353544.8,353544.8,14.9
603520,司太立,667218.247948,667997.327172,20.23
603519,立霸股份,332643.470911,332643.470911,12.59
603518,锦泓集团,250682.240318,250682.240318,7.33
603517,绝味食品,3481976.206095,3481976.206095,62.03
603516,淳中科技,285186.96822,285186.96822,16.56
603515,欧普照明,1264053.309714,1264811.330484,17.14
603511,爱慕股份,90203.480996,662816.57,16.86
603508,思维列控,573817.937385,573817.937385,15.57
603507,振江股份,443478.3572,506035.274,37.35
603506,南都物业,242796.668247,242796.668247,13.93
603505,金石资源,1971128.07756,1977589.384776,47.48
603501,韦尔股份,10122252.151484,10170785.3613,86.6
603500,祥和实业,302516.092032,302516.092032,12.45
603499,翔港科技,168164.278348,168164.278348,8.79
603496,恒为科技,361974.101482,361974.101482,16.32
603489,八方股份,1364914.622375,1367176.939275,116.83
603488,展鹏科技,206729.23152,206729.23152,7.18
603486,科沃斯,4515273.564161,4582838.627856,82.22
603477,巨星农牧,1070402.54904,1124539.630346,22.94
603466,风语筑,705478.994311,707997.364711,12.35
603458,勘设股份,314433.04547,316942.18847,10.28
603456,九洲药业,3325788.15923,3337852.37453,40.8
603444,吉比特,2457761.817918,2457761.817918,346.1
603439,贵州三力,296329.809776,750234.406416,18.75
603429,集友股份,586899.235335,586899.235335,11.44
603421,鼎信通讯,588275.840922,588275.840922,9.36
603416,信捷电气,716856.0,716856.0,53.22
603408,建霖家居,137134.024206,530930.76,12.24
